nome completo;email;telefone de contato;CRM;Especialidade
Dr. João Silva;joao.silva@email.com;11 99999-1234;CRM/SP 123456;Cardiologia
Dra. Ana Souza;ana.souza@email.com;21 88888-5678;CRM/RJ 987654;Dermatologia
Dr. Pedro Oliveira;pedro.oliveira@email.com;31 77777-9012;CRM/MG 112233;Clínica Médica
Dra. Maria Santos;maria.santos@email.com;41 66666-3456;CRM/PR 445566;Pediatria
Dr. Carlos Pereira;carlos.pereira@email.com;51 55555-7890;CRM/RS 778899;Ginecologia
Dra. Laura Rodrigues;laura.rodrigues@email.com;61 44444-0123;CRM/DF 223344;Oftalmologia
Dr. Bruno Costa;bruno.costa@email.com;71 33333-4567;CRM/BA 556677;Ortopedia
Dra. Sofia Almeida;sofia.almeida@email.com;81 22222-8901;CRM/PE 889900;Neurologia
Dr. Rafael Fernandes;rafael.fernandes@email.com;91 11111-2345;CRM/PA 334455;Urologia
Dra. Amanda Gomes;amanda.gomes@email.com;27 98765-4321;CRM/ES 667788;Endocrinologia
Dr. Lucas Ribeiro;lucas.ribeiro@email.com;32 87654-3210;CRM/MG 990011;Gastroenterologia
Dra. Julia Carvalho;julia.carvalho@email.com;42 76543-2109;CRM/PR 112233;Pneumologia
Dr. Gustavo Martins;gustavo.martins@email.com;53 65432-1098;CRM/RS 445566;Reumatologia
Dra. Beatriz Sousa;beatriz.sousa@email.com;62 54321-0987;CRM/GO 778899;Psiquiatria
Dr. Thiago Oliveira;thiago.oliveira@email.com;73 43210-9876;CRM/BA 223344;Hematologia
Dra. Camila Pereira;camila.pereira@email.com;82 32109-8765;CRM/AL 556677;Infectologia
Dr. Eduardo Rodrigues;eduardo.rodrigues@email.com;92 21098-7654;CRM/AM 889900;Nefrologia
Dra. Mariana Costa;mariana.costa@email.com;28 10987-6543;CRM/ES 334455;Otorrinolaringologia
Dr. Felipe Almeida;felipe.almeida@email.com;33 90876-5432;CRM/MG 667788;Cardiologia
Dra. Natália Fernandes;natalia.fernandes@email.com;43 80765-4321;CRM/PR 990011;Dermatologia
Dr. Ricardo Gomes;ricardo.gomes@email.com;54 70654-3210;CRM/RS 112233;Clínica Médica
Dra. Patrícia Ribeiro;patricia.ribeiro@email.com;63 60543-2109;CRM/GO 445566;Pediatria
Dr. André Carvalho;andre.carvalho@email.com;74 50432-1098;CRM/BA 778899;Ginecologia
Dra. Juliana Martins;juliana.martins@email.com;83 40321-0987;CRM/PE 223344;Oftalmologia
Dr. Marcelo Sousa;marcelo.sousa@email.com;93 30210-9876;CRM/AM 556677;Ortopedia
